cellid,predicted_label
H9_P1_M15,1
H9_P6_M15,1
A10_P1_M55_L001,1
A10_P3_M55_L001,Rejected
A10_P4_M55_L001,Rejected
A11_P1_M55_L001,1
A11_P2_M55_L001,Rejected
A11_P3_M55_L001,Rejected
A11_P4_M55_L001,Rejected
A12_P2_M55_L001,Rejected
A2_P1_M55_L001,Rejected
A2_P4_M55_L001,1
A3_P1_M55_L001,Rejected
A3_P4_M55_L001,Rejected
A4_P2_M55_L001,Rejected
A4_P3_M55_L001,Rejected
A4_P4_M55_L001,Rejected
A5_P1_M55_L001,Rejected
A5_P2_M55_L001,Rejected
A5_P3_M55_L001,1
A5_P4_M55_L001,1
A6_P1_M55_L001,1
A6_P3_M55_L001,Rejected
A6_P4_M55_L001,1
A7_P1_M55_L001,1
A7_P2_M55_L001,Rejected
A7_P3_M55_L001,1
A7_P4_M55_L001,Rejected
A8_P2_M55_L001,1
A8_P3_M55_L001,Rejected
A8_P4_M55_L001,Rejected
A9_P1_M55_L001,Rejected
A9_P3_M55_L001,Rejected
A9_P4_M55_L001,1
B10_P1_M55_L001,1
B10_P3_M55_L001,1
B11_P2_M55_L001,Rejected
B12_P1_M55_L001,Rejected
B12_P2_M55_L001,Rejected
B1_P2_M55_L001,1
B1_P4_M55_L001,Rejected
B2_P2_M55_L001,Rejected
B3_P1_M55_L001,1
B3_P3_M55_L001,1
B4_P1_M55_L001,Rejected
B4_P2_M55_L001,Rejected
B4_P3_M55_L001,Rejected
B4_P4_M55_L001,Rejected
B5_P2_M55_L001,Rejected
B5_P3_M55_L001,1
B5_P4_M55_L001,Rejected
B6_P1_M55_L001,Rejected
B6_P2_M55_L001,Rejected
B6_P3_M55_L001,Rejected
B7_P1_M55_L001,1
B7_P2_M55_L001,Rejected
B7_P3_M55_L001,1
B7_P4_M55_L001,Rejected
B8_P2_M55_L001,Rejected
B8_P3_M55_L001,Rejected
B8_P4_M55_L001,Rejected
B9_P1_M55_L001,Rejected
B9_P4_M55_L001,1
C10_P1_M55_L001,1
C10_P4_M55_L001,Rejected
C11_P3_M55_L001,1
C12_P2_M55_L001,Rejected
C12_P3_M55_L001,1
C1_P2_M55_L001,Rejected
C1_P3_M55_L001,1
C1_P4_M55_L001,Rejected
C2_P4_M55_L001,1
C3_P3_M55_L001,1
C4_P2_M55_L001,Rejected
C5_P1_M55_L001,Rejected
C5_P3_M55_L001,Rejected
C6_P2_M55_L001,Rejected
C6_P3_M55_L001,1
C7_P1_M55_L001,Rejected
C7_P2_M55_L001,Rejected
C7_P3_M55_L001,Rejected
C8_P4_M55_L001,Rejected
C9_P4_M55_L001,Rejected
D11_P1_M55_L001,Rejected
D11_P2_M55_L001,Rejected
D11_P3_M55_L001,Rejected
D12_P4_M55_L001,Rejected
D1_P1_M55_L001,1
D1_P2_M55_L001,Rejected
D1_P3_M55_L001,Rejected
D1_P4_M55_L001,Rejected
D2_P1_M55_L001,1
D2_P2_M55_L001,1
D2_P3_M55_L001,1
D2_P4_M55_L001,Rejected
D3_P2_M55_L001,Rejected
D3_P3_M55_L001,Rejected
D4_P3_M55_L001,1
D4_P4_M55_L001,Rejected
D5_P2_M55_L001,Rejected
D5_P3_M55_L001,1
D7_P1_M55_L001,1
D7_P3_M55_L001,1
D7_P4_M55_L001,Rejected
D8_P1_M55_L001,1
D8_P3_M55_L001,Rejected
D8_P4_M55_L001,1
D9_P4_M55_L001,1
E10_P1_M55_L001,Rejected
E10_P3_M55_L001,Rejected
E11_P1_M55_L001,1
E12_P1_M55_L001,Rejected
E12_P3_M55_L001,Rejected
E12_P4_M55_L001,Rejected
E1_P4_M55_L001,Rejected
E2_P2_M55_L001,1
E2_P3_M55_L001,1
E3_P2_M55_L001,Rejected
E3_P4_M55_L001,1
E4_P1_M55_L001,Rejected
E4_P2_M55_L001,1
E5_P4_M55_L001,1
E6_P2_M55_L001,1
E7_P1_M55_L001,Rejected
E7_P3_M55_L001,1
E8_P1_M55_L001,Rejected
E8_P2_M55_L001,1
E9_P3_M55_L001,1
E9_P4_M55_L001,Rejected
F10_P1_M55_L001,1
F10_P2_M55_L001,1
F10_P4_M55_L001,1
F11_P1_M55_L001,Rejected
F11_P2_M55_L001,Rejected
F12_P2_M55_L001,1
F12_P3_M55_L001,1
F1_P3_M55_L001,Rejected
F1_P4_M55_L001,Rejected
F3_P2_M55_L001,Rejected
F5_P2_M55_L001,1
F7_P1_M55_L001,1
F8_P2_M55_L001,Rejected
F8_P3_M55_L001,1
F9_P1_M55_L001,1
G10_P3_M55_L001,1
G10_P4_M55_L001,Rejected
G12_P1_M55_L001,1
G1_P3_M55_L001,Rejected
G2_P2_M55_L001,Rejected
G3_P1_M55_L001,1
G3_P4_M55_L001,Rejected
G4_P1_M55_L001,1
G4_P2_M55_L001,1
G4_P3_M55_L001,Rejected
G5_P2_M55_L001,Rejected
G5_P3_M55_L001,Rejected
G6_P1_M55_L001,1
G6_P2_M55_L001,1
G6_P4_M55_L001,1
G7_P1_M55_L001,1
G7_P3_M55_L001,1
G8_P1_M55_L001,Rejected
G8_P2_M55_L001,1
G8_P3_M55_L001,1
G8_P4_M55_L001,Rejected
G9_P1_M55_L001,1
G9_P2_M55_L001,1
G9_P3_M55_L001,Rejected
G9_P4_M55_L001,1
H10_P1_M55_L001,Rejected
H10_P4_M55_L001,1
H11_P1_M55_L001,1
H11_P3_M55_L001,1
H12_P3_M55_L001,Rejected
H1_P1_M55_L001,1
H1_P2_M55_L001,1
H1_P4_M55_L001,Rejected
H2_P1_M55_L001,Rejected
H2_P2_M55_L001,Rejected
H2_P4_M55_L001,1
H3_P1_M55_L001,1
H3_P4_M55_L001,1
H4_P3_M55_L001,Rejected
H5_P1_M55_L001,Rejected
H5_P2_M55_L001,1
H5_P3_M55_L001,1
H6_P1_M55_L001,Rejected
H6_P2_M55_L001,Rejected
H7_P4_M55_L001,Rejected
H8_P1_M55_L001,Rejected
H8_P3_M55_L001,Rejected
H8_P4_M55_L001,Rejected
H9_P1_M55_L001,Rejected
H9_P3_M55_L001,Rejected
H9_P4_M55_L001,1
A10_P3_M34,1
A11_P4_M34,1
A12_P2_M34,1
A12_P3_M34,1
A12_P4_M34,Rejected
A2_P2_M34,1
A2_P4_M34,1
A3_P1_M34,Rejected
A3_P2_M34,Rejected
A3_P4_M34,1
A4_P2_M34,Rejected
A4_P3_M34,Rejected
A4_P4_M34,1
A5_P3_M34,1
A6_P2_M34,Rejected
A7_P3_M34,Rejected
A8_P1_M34,Rejected
A8_P2_M34,1
A8_P4_M34,1
A9_P3_M34,Rejected
A9_P4_M34,1
B10_P1_M34,1
B10_P4_M34,1
B11_P1_M34,Rejected
B11_P2_M34,1
B12_P1_M34,1
B12_P2_M34,1
B12_P4_M34,1
B1_P2_M34,1
B1_P3_M34,1
B2_P1_M34,1
B2_P2_M34,1
B2_P3_M34,1
B2_P4_M34,1
B3_P3_M34,Rejected
B3_P4_M34,1
B4_P1_M34,1
B4_P2_M34,1
B4_P3_M34,Rejected
B4_P4_M34,1
B5_P1_M34,Rejected
B5_P2_M34,Rejected
B5_P3_M34,1
B5_P4_M34,1
B6_P2_M34,1
B6_P3_M34,Rejected
B6_P4_M34,1
B7_P1_M34,Rejected
B7_P2_M34,1
B7_P3_M34,1
B8_P1_M34,1
B8_P4_M34,Rejected
B9_P1_M34,Rejected
B9_P2_M34,1
B9_P3_M34,1
B9_P4_M34,1
C10_P1_M34,1
C10_P2_M34,1
C10_P4_M34,Rejected
C11_P3_M34,Rejected
C12_P1_M34,1
C12_P2_M34,1
C12_P3_M34,1
